pmid,doi,title,pdf_filename,notes
PMID:24220302,10.1016/j.jprot.2013.10.041,Proteome of the porosome complex in human airway epithelia: interaction with the cystic fibrosis transmembrane conductance regulator (CFTR).,Hou_2014_7LA2SISW.pdf,from Zotero (resolved from DOI)
PMID:34963520,10.1016/j.jes.2021.06.001,"Development of a standardized in vitro approach to evaluate microphysical, chemical, and toxicological properties of combustion-derived fine and ultrafine  particles.",Juarez_Facio_2022_EGX4APT8.pdf,from Zotero (resolved from DOI)
PMID:36037633,10.1016/j.ecoenv.2022.114013,"Acute effects of exposure to fine particulate matter and ozone on lung function, inflammation and oxidative stress in healthy adults.",Xu_2022_DVCJECZY.pdf,from Zotero (resolved from DOI)
PMID:32000005,10.1016/j.envres.2020.109161,"Residential exposure to outdoor air pollution and adult lung function, with focus on small airway obstruction.",Havet_2020_BZUJRDQI.pdf,from Zotero (resolved from DOI)
PMID:37708689,10.1016/j.ecoenv.2023.115455,Sestrin2/Keap1/Nrf2 pathway regulates mucus hypersecretion in pulmonary epithelium induced by traffic-related PM(2.5) and water-soluble extracts.,Tian_2023_HRLMEIRE.pdf,from Zotero (resolved from DOI)
PMID:38364346,10.1016/j.ecoenv.2024.116090,Diesel exhaust particle exposure exacerbates ciliary and epithelial barrier dysfunction in the multiciliated bronchial epithelium models.,Park_2024_8FMNFL5E.pdf,from Zotero (resolved from DOI)
PMID:39752917,10.1016/j.ecoenv.2024.117638,A molecular toxicological study to explore potential health risks associated with ultrafine particle exposure in cold and humid indoor environments.,Shu_2025_FJLY57GJ.pdf,from Zotero (resolved from DOI)
PMID:39923567,10.1016/j.ecoenv.2025.117846,Clinicopathological relationship between PM2.5 exposure and acute exacerbations of chronic obstructive pulmonary disease.,Cui_2025_KUBPMJ2G.pdf,from Zotero (resolved from DOI)
PMID:34773846,10.1016/j.ecoenv.2021.112918,Effective-component compatibility of Bufei Yishen formula protects COPD rats against PM2.5-induced oxidative stress via miR-155/FOXO3a pathway.,Li_2021_SBNJC9T7.pdf,from Zotero (resolved from DOI)
PMID:40914478,10.1016/j.envres.2025.122707,Air pollution and long COVID: association with pulmonary function and radiological abnormalities 3-15 months post-COVID.,Houweling_2025_H4UVKJJE.pdf,from Zotero (resolved from DOI)
PMID:41905033,10.1016/j.ecoenv.2026.120072,Airborne PM(2.5) from pig houses induces piglet respiratory epithelial barrier injury by activating the NLRP3 inflammasome through Drp1-mediated mitochondrial  dysfunction.,Tang_2026_IBPQ8PJD.pdf,from Zotero (resolved from DOI)
PMID:42079210,10.64898/2026.04.21.719931,PM2.5 toxin benzo[a]pyrene induces life-limiting inflammation and oxidative stress in the airway by up-regulation of TRPC6 and inactivation of β2AR/CFTR  signaling.,Caohuy_2026_LMI5U9MK.pdf,from Zotero (extra field)
PMID:41812846,10.1016/j.etap.2026.104989,Epithelial effects of exposure to e-cigarettes alone or in combination with cigarette smoke using multicellular lung mucosa models.,Sompa_2026_57EYLM9H.pdf,from Zotero (resolved from DOI)
PMID:42276338,10.1016/j.envres.2026.125004,A job exposure matrix for occupational exposure to airborne micro and nanoplastics (PlastiXJEM®️) and associations with respiratory outcomes.,Vasse_2026_29CTCF38.pdf,from Zotero (resolved from DOI)
PMID:42309251,10.1016/j.envpol.2026.128595,Short-term effects of PM(10) sources and oxidative potential on child lung function.,Tassel_2026_GCPJVSYW.pdf,from Zotero (resolved from DOI)
PMID:34345855,10.1016/j.crtox.2021.02.004,Multi-endpoint analysis of human 3D airway epithelium following repeated exposure to whole electronic vapor product aerosol or cigarette smoke,Czekala_2021_6EFL8STU.pdf,from Zotero (resolved from DOI)
PMID:22820758,10.1007/s00204-012-0903-6,Fine PM induce airway MUC5AC expression through the autocrine effect of amphiregulin,Val_2012_HW3CEFVE.pdf,from Zotero (resolved from DOI)
PMID:28946937,10.5483/BMBRep.2017.50.10.100,Airborne particulate matter increases MUC5AC expression by downregulating Claudin-1 expression in human airway cells,Kim_2017_7ZZIYJJC.pdf,from Zotero (resolved from DOI)
PMID:29329563,10.1186/s12989-018-0240-x,PM(2.5)-induced oxidative stress increases intercellular adhesion molecule-1 expression in lung epithelial cells through the IL-6/AKT/STAT3/NF-κB-dependent  pathway.,Liu_2018_T5VYRG6I.pdf,from Zotero (resolved from DOI)
PMID:29540228,10.1186/s12989-018-0249-1,Early-life exposure to three size-fractionated ultrafine and fine atmospheric particulates in Beijing exacerbates asthma development in mature mice.,Mei_2018_ZQGEPAXC.pdf,from Zotero (resolved from DOI)
PMID:29614747,10.3390/nano8040213,Low Dose Carbon Black Nanoparticle Exposure Does Not Aggravate Allergic Airway Inflammation in Mice Irrespective of the Presence of Surface Polycyclic Aromatic  Hydrocarbons.,Lindner_2018_MKLJUY7J.pdf,from Zotero (resolved from DOI)
PMID:29861437,10.3390/ijerph15061077,Short-Term Particulate Air Pollution Exposure is Associated with Increased Severity of Respiratory and Quality of Life Symptoms in Patients with Fibrotic  Sarcoidosis.,Pirozzi_2018_JXTBJHCC.pdf,from Zotero (resolved from DOI)
PMID:30053865,10.1186/s12889-018-5846-2,"Chronic bronchitis and airflow obstruction is associated with household cooking fuel use among never-smoking women: a community-based cross-sectional study in  Odisha, India.",Panigrahi_2018_Q55FUETV.pdf,from Zotero (resolved from DOI)
PMID:31766833,10.32394/pe.73.22,Recreational physical activity and the problem of particulate matter air pollution.,Kocot_2019_7GTCERK3.pdf,from Zotero (resolved from DOI)
PMID:31166129,10.1152/ajplung.00096.2019,Cigarette and ENDS preparations differentially regulate ion channels and mucociliary clearance in primary normal human bronchial 3D cultures.,Rayner_2019_JEZ2MKIN.pdf,from Zotero (resolved from DOI)
PMID:31462114,10.1080/17435390.2019.1655600,Exposure of normal and chronic bronchitis-like mucosa models to aerosolized carbon nanoparticles: comparison of pro-inflammatory oxidative stress and tissue  injury/repair responses.,Ji_2019_XBMWAU97.pdf,from Zotero (resolved from DOI)
PMID:31944254,10.1093/toxsci/kfaa006,Wood Smoke Particles Stimulate MUC5AC Overproduction by Human Bronchial Epithelial Cells Through TRPA1 and EGFR Signaling,Memon_2020_4BVSEFEF.pdf,from Zotero (resolved from DOI)
PMID:32349371,10.3390/ijerph17093042,"Effect of Particulate Matter Exposure on Respiratory Health of e-Waste Workers at Agbogbloshie, Accra, Ghana.",Amoabeng_Nti_2020_R3EEB2WR.pdf,from Zotero (resolved from DOI)
PMID:32471097,10.3390/ijerph17113795,Industrial Air Pollution and Respiratory Health Status among Residents in an Industrial Area in Central Italy.,Paolocci_2020_5VN67CUC.pdf,from Zotero (resolved from DOI)
PMID:32580518,10.3390/molecules25122869,The Role of Fucoidans Isolated from the Sporophylls of Undaria pinnatifida against Particulate-Matter-Induced Allergic Airway Inflammation: Evidence of the  Attenuation of Oxidative Stress and Inflammatory Responses.,Herath_2020_PXYUENJI.pdf,from Zotero (resolved from DOI)
PMID:32783621,10.1152/ajplung.00209.2020,Prenatal smoke exposure dysregulates lung epithelial cell differentiation in mouse offspring: role for AREG-induced EGFR signaling.,Lkhagvadorj_2020_6DSSYYF5.pdf,from Zotero (resolved from DOI)
PMID:33008417,10.1186/s12989-020-00375-x,Controlled human exposures to wood smoke: a synthesis of the evidence.,Schwartz_2020_MXGESKPV.pdf,from Zotero (resolved from DOI)
PMID:33235610,10.3892/etm.2020.9433,PM2.5 induces autophagy-mediated cell apoptosis via PI3K/AKT/mTOR signaling pathway in mice bronchial epithelium cells.,Han_2021_ESNUT59U.pdf,from Zotero (resolved from DOI)
PMID:33339013,10.1088/1752-7163/abd52e,Influence of coexistence of mild OSA on airway mucus hypersecretion in patients with COPD.,Wan_2021_NRIVUQ8S.pdf,from Zotero (resolved from DOI)
PMID:34415187,10.1152/ajpheart.00725.2020,Inhalation of particulate matter containing free radicals leads to decreased vascular responsiveness associated with an altered pulmonary function.,Harmon_2021_V8DKK4AD.pdf,from Zotero (resolved from DOI)
